_id,longitude,latitude,inwater,inusa
ObjectId(5785ee72a61edb00073a1e4a),-121.7380122,38.54042726,FALSE,TRUE
ObjectId(5785eeb0a61edb00073a1e4b),-118.355286,34.06320713,FALSE,TRUE
ObjectId(5785eed3a61edb00073a1e4c),-118.3509216,34.09218804,FALSE,TRUE
ObjectId(5785efc1a61edb00073a1e4d),-121.74932,38.54103433,FALSE,TRUE
ObjectId(5785efd5a61edb00073a1e4e),-121.749576,38.54250176,FALSE,TRUE
ObjectId(5785effea61edb00073a1e4f),-121.7314912,38.54424633,FALSE,TRUE
ObjectId(5785f042a61edb00073a1e50),-121.7436904,38.54403057,FALSE,TRUE
ObjectId(5785f07aa61edb00073a1e51),-121.7462035,38.55962513,FALSE,TRUE
ObjectId(5785f098a61edb00073a1e52),-121.7502076,38.56777239,FALSE,TRUE
ObjectId(5785f0b3a61edb00073a1e53),-121.5047188,38.58302265,FALSE,TRUE
ObjectId(5785f0e2a61edb00073a1e54),-121.7518098,38.54594058,FALSE,TRUE
ObjectId(5785f106a61edb00073a1e55),-121.7436207,38.53922447,FALSE,TRUE
ObjectId(5785f14da61edb00073a1e56),-121.7517007,38.57137648,FALSE,TRUE
ObjectId(5785f1d6a61edb00073a1e57),-121.7023523,38.55603518,FALSE,TRUE
ObjectId(5785f215a61edb00073a1e58),-121.7703148,38.55050715,FALSE,TRUE
ObjectId(5785f251a61edb00073a1e59),-121.7445138,38.54493707,FALSE,TRUE
ObjectId(5785f27ca61edb00073a1e5a),-73.97354072,40.75467166,FALSE,TRUE
ObjectId(5785f296a61edb00073a1e5b),-121.7489906,38.57156152,FALSE,TRUE
ObjectId(5785f2b7a61edb00073a1e5c),-121.7411656,38.5422928,FALSE,TRUE
ObjectId(5785f2e3a61edb00073a1e5d),-73.98510064,40.7197128,FALSE,TRUE
ObjectId(5785f2f3a61edb00073a1e5e),-121.7434282,38.55848902,FALSE,TRUE
ObjectId(5785f310a61edb00073a1e5f),-73.88155791,40.71994438,FALSE,TRUE
ObjectId(5785f31aa61edb00073a1e60),-73.87884389,40.72026258,FALSE,TRUE
ObjectId(5785f32ba61edb00073a1e61),-121.7590335,38.5427689,FALSE,TRUE
ObjectId(5785f34fa61edb00073a1e62),-121.7498124,38.54129371,FALSE,TRUE
ObjectId(5785f36ea61edb00073a1e63),-73.84437043,40.74171128,FALSE,TRUE
ObjectId(5785f37ba61edb00073a1e64),-73.80651052,40.74728018,FALSE,TRUE
ObjectId(5785f386a61edb00073a1e65),-121.7493462,38.53960955,FALSE,TRUE
ObjectId(5785f3a0a61edb00073a1e66),-121.7447333,38.54552717,FALSE,TRUE
ObjectId(5785f3d5a61edb00073a1e67),-121.7492087,38.56628694,FALSE,TRUE
ObjectId(5785f3dda61edb00073a1e68),-73.94653262,40.76510199,FALSE,TRUE
ObjectId(5785f406a61edb00073a1e69),-73.96719491,40.78633772,FALSE,TRUE
ObjectId(5785f420a61edb00073a1e6a),-121.7462541,38.54871888,FALSE,TRUE
ObjectId(5785f426a61edb00073a1e6b),-73.97408699,40.78124334,FALSE,TRUE
ObjectId(5785f433a61edb00073a1e6c),-121.7593783,38.54284276,FALSE,TRUE
ObjectId(5785f44ea61edb00073a1e6d),-121.7592295,38.54342511,FALSE,TRUE
ObjectId(5785f45ea61edb00073a1e6e),-74.02203611,40.63704295,FALSE,TRUE
ObjectId(5785f461a61edb00073a1e6f),-121.7442017,38.54554499,FALSE,TRUE
ObjectId(5785f479a61edb00073a1e70),-121.7444982,38.54518344,FALSE,TRUE
ObjectId(5785f48ba61edb00073a1e71),-74.01719131,40.7038265,FALSE,TRUE
ObjectId(5785f498a61edb00073a1e72),-121.7455393,38.54106868,FALSE,TRUE
ObjectId(5785f4b8a61edb00073a1e73),-121.7526241,38.53346051,FALSE,TRUE
ObjectId(5785f4c2a61edb00073a1e74),-121.7522103,38.5339173,FALSE,TRUE
ObjectId(5785f4e8a61edb00073a1e75),-121.7511417,38.54100335,FALSE,TRUE
ObjectId(5785f4eca61edb00073a1e76),-73.99982304,40.71431634,FALSE,TRUE
ObjectId(5785f513a61edb00073a1e77),-73.94202661,40.74619074,FALSE,TRUE
ObjectId(5785f537a61edb00073a1e78),-74.00501604,40.75631401,FALSE,TRUE
ObjectId(5785f557a61edb00073a1e79),-74.0024587,40.75281988,FALSE,TRUE
ObjectId(5785f55ea61edb00073a1e7a),-121.7452048,38.56039852,FALSE,TRUE
ObjectId(5785f57aa61edb00073a1e7b),-73.98132775,40.75851753,FALSE,TRUE
ObjectId(5785f583a61edb00073a1e7c),-73.98233588,40.75714589,FALSE,TRUE
ObjectId(5785f590a61edb00073a1e7d),-121.7320779,38.53646955,FALSE,TRUE
ObjectId(5785f59ba61edb00073a1e7e),-121.7319947,38.53662739,FALSE,TRUE
ObjectId(5785f5b0a61edb00073a1e7f),-73.9903752,40.7357282,FALSE,TRUE
ObjectId(5785f5b7a61edb00073a1e80),-73.99117322,40.7353987,FALSE,TRUE
ObjectId(5785f5fca61edb00073a1e81),-74.00948693,40.70639604,FALSE,TRUE
ObjectId(5785f62aa61edb00073a1e82),-73.97436717,40.75639621,FALSE,TRUE
ObjectId(5785f649a61edb00073a1e83),-73.98323655,40.75317724,FALSE,TRUE
ObjectId(5785f6a7a61edb00073a1e84),-73.98769989,40.72433267,FALSE,TRUE
ObjectId(5785f6f5a61edb00073a1e85),-73.98794154,40.69668542,FALSE,TRUE
ObjectId(5785f7aea61edb00073a1e86),-71.12233025,42.39636173,FALSE,TRUE
ObjectId(5785f7b3a61edb00073a1e87),-71.12261847,42.39661182,FALSE,TRUE
ObjectId(5785f84666772e00073a4959),-70.93874772,42.44440284,FALSE,TRUE
ObjectId(5785f8f866772e00073a495a),-71.0935894,42.38167095,FALSE,TRUE
ObjectId(5785f91466772e00073a495b),-71.11927327,42.37593676,FALSE,TRUE
ObjectId(5785f92066772e00073a495c),-71.12199682,42.37301547,FALSE,TRUE
ObjectId(5785f92c66772e00073a495d),-71.12037892,42.36954081,FALSE,FALSE
ObjectId(5785f94366772e00073a495e),-71.12350666,42.35278938,FALSE,TRUE
ObjectId(5785f95366772e00073a495f),-71.12768206,42.35285449,FALSE,TRUE
ObjectId(5785f95d66772e00073a4960),-71.13183963,42.35291148,FALSE,TRUE
ObjectId(5785f97a66772e00073a4961),-71.03172684,42.34370862,FALSE,TRUE
ObjectId(5785f98866772e00073a4962),-71.04947182,42.3590643,TRUE,TRUE
ObjectId(5785f9a066772e00073a4963),-71.05539615,42.35992052,FALSE,TRUE
ObjectId(5785f9b166772e00073a4964),-71.0573001,42.36209517,FALSE,TRUE
ObjectId(5785f9c366772e00073a4965),-71.06736463,42.35987628,FALSE,TRUE
ObjectId(5785f9d166772e00073a4966),-71.06859515,42.35473131,FALSE,TRUE
ObjectId(5785f9d866772e00073a4967),-71.07101283,42.35358905,FALSE,TRUE
ObjectId(5785f9e266772e00073a4968),-71.07429243,42.35612164,FALSE,TRUE
ObjectId(5785f9e966772e00073a4969),-71.07371767,42.35609772,FALSE,TRUE
ObjectId(5785f9f766772e00073a496a),-71.07812704,42.35182013,FALSE,TRUE
ObjectId(5785fa1566772e00073a496b),-71.09493738,42.34806342,FALSE,TRUE
ObjectId(5785fa2966772e00073a496c),-71.0929857,42.36145223,FALSE,TRUE
ObjectId(5785fa3666772e00073a496d),-71.08644575,42.36198809,FALSE,TRUE
ObjectId(5785fa4e66772e00073a496e),-71.0829515,42.3616718,FALSE,TRUE
ObjectId(5785fa6166772e00073a496f),-71.0859522,42.36578354,FALSE,TRUE
ObjectId(5785fa6c66772e00073a4970),-71.07684552,42.36571156,FALSE,TRUE
ObjectId(5785faa366772e00073a4971),-71.1098223,42.35460184,TRUE,TRUE
ObjectId(5785fab566772e00073a4972),-71.12854481,42.36340955,FALSE,TRUE
ObjectId(5785fad466772e00073a4973),-121.4901852,38.57819711,FALSE,TRUE
ObjectId(5785faf366772e00073a4974),-121.4914642,38.58215899,FALSE,TRUE
ObjectId(5785fafe66772e00073a4975),-71.10439297,42.36534401,FALSE,TRUE
ObjectId(5785fb0a66772e00073a4976),-121.492494,38.56466345,FALSE,TRUE
