_id,longitude,latitude
ObjectId(5785be9d56421300075d9afa),-121.48970660236617,38.58063129322471
ObjectId(5785c08356421300075d9afb),-121.48556265730659,38.58197601462723
ObjectId(5785c25156421300075d9afc),-121.48567542418297,38.580151203063565
ObjectId(5785c26b56421300075d9afd),-121.4842907597311,38.584079135803194
ObjectId(5785c29856421300075d9afe),-121.48825400662491,38.58140394546558
ObjectId(5785c7cf56421300075d9aff),-121.48924137465687,38.582881331197
ObjectId(5785c7db56421300075d9b00),-121.49001383026614,38.58218803656814
ObjectId(5785ccef56421300075d9b01),-121.48878746587341,38.57504818625304
ObjectId(5785ce7456421300075d9b02),-121.49417922620097,38.58086611363785
ObjectId(5785ce7d56421300075d9b03),-121.49180287026562,38.57653890429097
ObjectId(5785ce8956421300075d9b04),-121.49015234557993,38.57546370874718
ObjectId(5785cfd156421300075d9b05),-122.40110133731969,37.78959112737137
ObjectId(5785cfdd56421300075d9b06),-122.39999683304374,37.79028171086273
ObjectId(5785cfe756421300075d9b07),-122.40186064788824,37.788651803403354
ObjectId(5785d2d156421300075d9b0a),-122.47569663222694,37.72507542085678
ObjectId(5785d30956421300075d9b0b),-122.42439025460862,37.775847833854726
ObjectId(5785d35056421300075d9b0c),-122.43956329542155,37.743869083458335
ObjectId(5785d38056421300075d9b0d),-122.39814432219148,37.7099134056112
ObjectId(5785d3a456421300075d9b0e),-122.41992698724547,37.71906699820937
ObjectId(5785d3d056421300075d9b0f),-122.40568194722013,37.801965812829195
ObjectId(5785d3e456421300075d9b10),-122.39319833472896,37.79542588782476
ObjectId(5785d3fc56421300075d9b11),-122.49645599729965,37.72355186726148
ObjectId(5785d42556421300075d9b12),-122.42079613866865,37.79147758718155
ObjectId(5785d45b56421300075d9b13),-122.38974282729109,37.79127831177553
ObjectId(5785d47756421300075d9b14),-122.38876458467527,37.78989532534689
ObjectId(5785d4a756421300075d9b15),-122.4825394800188,37.748715938139796
ObjectId(5785d4d556421300075d9b16),-122.41803676411645,37.78323184242957
ObjectId(5785d50856421300075d9b17),-122.44864209484611,37.77224008621501
ObjectId(5785d52256421300075d9b18),-122.466411309464,37.76591195264987
ObjectId(5785d55556421300075d9b19),-122.40344625028843,37.768492557580146
ObjectId(5785d56f56421300075d9b1a),-122.39564586704334,37.722454876247326
ObjectId(5785d58856421300075d9b1b),-122.47731569163801,37.73593346904249
ObjectId(5785d5af56421300075d9b1c),-122.50776222155812,37.74537050007429
ObjectId(5785d5db56421300075d9b1d),-122.43697417611506,37.77117234495965
ObjectId(5785d5f856421300075d9b1e),-122.45802974781719,37.76965176528421
ObjectId(5785d62356421300075d9b1f),-122.37468863130657,37.73848756458651
ObjectId(5785d62c56421300075d9b20),-121.48761364042895,38.57956939752643
ObjectId(5785d63756421300075d9b21),-122.42685154909034,37.759442563299416
ObjectId(5785d74356421300075d9b22),-122.46684725043221,37.76813903921956
ObjectId(5785d76b56421300075d9b23),-122.45929138826028,37.78571367231075
ObjectId(5785d7a556421300075d9b24),-122.38943304857528,37.75960022623134
ObjectId(5785d7b756421300075d9b25),-122.38815439448308,37.74749219880766
ObjectId(5785d7d456421300075d9b26),-122.4002990239716,37.79491857424334
ObjectId(5785d7f256421300075d9b27),-122.41446722983038,37.72186569007931
ObjectId(5785d80b56421300075d9b28),-122.51112169743183,37.771380171124704
ObjectId(5785de1156421300075d9b29),-79.44371709927381,43.65905796351478
ObjectId(5785e26bb4da84000799c784),-121.48709006937588,38.58215505557263
ObjectId(5785e874a61edb00073a1e31),-118.33950509416923,34.1011261548271
ObjectId(5785e8d6a61edb00073a1e32),-118.29780857888576,34.06176083144955
ObjectId(5785e903a61edb00073a1e33),-118.29918793215293,34.06176884115381
ObjectId(5785e927a61edb00073a1e34),-118.34014434905896,34.101350891858715
ObjectId(5785e959a61edb00073a1e35),-118.29197748544735,34.10034002941221
ObjectId(5785e99da61edb00073a1e36),-118.34069153158657,34.101282463724104
ObjectId(5785e9aea61edb00073a1e37),-118.29392834354405,34.10027854923625
ObjectId(5785e9fba61edb00073a1e38),-118.4966981819767,34.009914112632686
ObjectId(5785eb00a61edb00073a1e39),-118.42758392733211,34.01789314292188
ObjectId(5785eb08a61edb00073a1e3a),-118.42909942027129,34.01731616209233
ObjectId(5785eb0fa61edb00073a1e3b),-118.42672156819361,34.01791637892289
ObjectId(5785eb33a61edb00073a1e3c),-118.46028859766334,34.006256540747856
ObjectId(5785eb61a61edb00073a1e3d),-118.43164149706425,33.98396592167383
ObjectId(5785eccba61edb00073a1e3e),-118.38481439140278,33.88847573683361
ObjectId(5785ecf6a61edb00073a1e3f),-118.37739269929612,33.88831496771094
ObjectId(5785ed24a61edb00073a1e40),-118.47266550208047,34.17390149370722
